Condition,Dose,mean,std
Aq,0.0,-0.12018134474712194,0.431189912722498
Aq,1.0,,
Aq,2.0,0.021083561391888116,0.28048519120089094
Aq,3.0,,
Aq,4.0,-0.4346503358122091,0.36883124308105164
Aq,5.0,,
Aq,6.0,-1.1594106181401134,0.1374359216395991
Aq,7.0,,
Aq,8.0,-1.1601654127566217,0.18562046604097315
Aq,9.0,,
Aq,10.0,-1.7273999722203668,0.18157237092685524
Aq,12.0,-2.007515625508539,0.7036532433375848
Aq,14.0,-3.383580285904164,0.9695739757189845
Aq,16.0,-3.941286963157629,0.9390600193052013
Aq,18.0,,0.41560379699782957
