Condition,Dose,mean,std
Aq,0.0,-0.06388094005858852,0.19477746463609905
Aq,1.0,-0.05664842241915822,0.601776093335877
Aq,2.0,-0.6442199217404186,0.268310474458264
Aq,3.0,-0.8663392090675287,0.27964593904952056
Aq,4.0,-1.0441725436541054,0.17540420954325833
Aq,5.0,-1.7359469555849891,0.18694520830268327
Aq,6.0,-2.8405028266833696,0.28066961383029904
Aq,7.0,-3.5267841456811553,0.4595666414469191
Aq,8.0,-4.791717088417405,0.4978168934381768
Aq,9.0,-6.2742738817677015,0.7554760813911238
Aq,10.0,,0.23561835913681786
Aq,12.0,,
Aq,14.0,,
Aq,16.0,,
Aq,18.0,,
